cluster_id,marker_id,ID,logFC,AveExpr,t,p_val,p_adj,B,celltype,marker
CD4+ CM,CD52,CD4+ CM,2.4653815613648873,1.9903897222222222,22.243760915473192,5.066269118434065e-14,8.748735953950643e-12,22.399946410497424,CD4+ CM,CD52
CD4+ TFH,CD52,CD4+ TFH,2.1569221660735276,2.0431983333333332,22.2305290696591,5.1162198561114877e-14,8.748735953950643e-12,22.448884980077754,CD4+ TFH,CD52
CD4+ EM,CD52,CD4+ EM,2.704416794009475,1.8416172222222222,20.666946739566644,1.697969777020424e-13,1.9356855458032836e-11,19.599477419712635,CD4+ EM,CD52
CD8+ EM,CD52,CD8+ EM,2.474076494073873,1.6919572222222223,18.10073699626661,1.4781277338912117e-12,1.263799212476986e-10,17.433179655269527,CD8+ EM,CD52
CD4+ Th1,CD52,CD4+ Th1,2.824782444331063,1.9986404166666667,16.013477806877074,1.0663834960462354e-11,7.294063112956251e-10,17.030934446894676,CD4+ Th1,CD52
TCRgd+,CD52,TCRgd+,2.250578101392157,1.8301680555555555,13.489983163639662,1.6133648583991425e-10,9.196179692875112e-9,13.435783554038995,TCRgd+,CD52
CD4+ Naive,CD52,CD4+ Naive,1.8157109458413923,1.995141111111111,12.865098169766934,3.3784841897676096e-10,1.6506308470007463e-8,13.512678316813664,CD4+ Naive,CD52
CD8+ TE,CD52,CD8+ TE,2.664120224326266,1.8664405555555557,12.724613777476948,4.005509628203298e-10,1.7123553660569098e-8,11.826147683790957,CD8+ TE,CD52
CD4+ TE,CD52,CD4+ TE,1.9270476763522195,1.9997847222222223,12.510628032491756,5.206829626898902e-10,1.9785952582215826e-8,12.030254638821884,CD4+ TE,CD52
CD4+ CM,CD8,CD4+ CM,-0.20826761110346734,0.43667666666666666,-4.115968950729536,7.193543157955525e-4,0.024601917600207898,-1.757854933197117,CD4+ CM,CD8
CD4+ EM,CXCR2,CD4+ EM,-0.08413775252380558,-0.07470393888888889,-3.77442258038512,0.0015091257723974273,0.04692009219635637,-4.3085344735767945,CD4+ EM,CXCR2
CD4+ CM,CD95,CD4+ CM,-0.39464763231517164,1.9709722222222221,-3.676351228495295,0.0018675404436818074,0.053224902644931515,-2.7138750674468843,CD4+ CM,CD95
CD4+ Naive,CD25,CD4+ Naive,0.17794792959381048,0.25998883333333334,3.4511504033430325,0.003044986414387785,0.0801065656708171,-2.9224821866418207,CD4+ Naive,CD25
CD4+ CM,CXCR2,CD4+ CM,-0.11606522057879293,-0.045113775,-3.3163689895307282,0.004076549833326395,0.09958428878554479,-3.4875776361468693,CD4+ CM,CXCR2
CD4+ TFH,CCR7,CD4+ TFH,0.12769796464654729,0.13967961666666667,3.212300330944825,0.005102818230475352,0.10907273967641064,-3.3903329007933385,CD4+ TFH,CCR7
TCRgd+,CD95,TCRgd+,-0.47410256670056883,1.1232852777777778,-3.2134399062217582,0.005090308436916487,0.10907273967641064,-4.425611256545147,TCRgd+,CD95
CD4+ TFH,CD95,CD4+ TFH,-0.3560299893708124,2.1090722222222222,-3.112021379269216,0.006330365996162873,0.1273520688639825,-3.601079920562321,CD4+ TFH,CD95
CD4+ EM,TCRab,CD4+ EM,0.18393856709020623,1.8004166666666668,3.0470088437278706,0.0072761779410496314,0.138247380879943,-5.8656344867333505,CD4+ EM,TCRab
CD4+ CM,CCR10,CD4+ CM,-0.16780858725233905,-0.13330500555555555,-2.995246116442107,0.008126642376170971,0.14627956277107748,-4.162942286710546,CD4+ CM,CCR10
CD4+ TFH,CXCR2,CD4+ TFH,-0.08499757788397405,-0.09193608888888889,-2.825238000906181,0.011655957740318924,0.1993168773594536,-4.192743861014972,CD4+ TFH,CXCR2
CD4+ TE,CD95,CD4+ TE,-0.3417227862156984,1.0091755555555555,-2.77366963374753,0.012992688796920756,0.20685040899344156,-5.519271983320397,CD4+ TE,CD95
CD4+ TFH,TIGIT,CD4+ TFH,0.3222564981409681,0.37484046111111113,2.7623182094446905,0.013306166660396827,0.20685040899344156,-4.319934442042971,CD4+ TFH,TIGIT
CD4+ Naive,CD95,CD4+ Naive,-0.3361319114119924,1.397115,-2.694402438016864,0.015339100681872013,0.2233717750497659,-4.4965861196271355,CD4+ Naive,CD95
CD4+ CM,CD39,CD4+ CM,-0.14557356779031372,0.21162302777777778,-2.6840137855179864,0.0156752122841941,0.2233717750497659,-4.796467093114679,CD4+ CM,CD39
CD4+ Th1,CXCR2,CD4+ Th1,-0.11548569681329758,-0.10425126944444445,-2.6547963365257057,0.01665871740867944,0.22789125415073475,-4.632456170943309,CD4+ Th1,CXCR2
CD8+ TE,CD95,CD8+ TE,-0.29166301036622927,1.054151111111111,-2.6012154507573126,0.01861747296130183,0.2448913751063548,-6.353121400512079,CD8+ TE,CD95
CD4+ Th1,CD28,CD4+ Th1,-0.2768542478607785,1.4174272222222222,-2.546778438761162,0.020831023484135434,0.26385963079904884,-4.844760083238112,CD4+ Th1,CD28
TCRgd+,TIGIT,TCRgd+,-0.1055623164443047,0.0892137,-2.424115770126752,0.026766984745815847,0.32693959939532213,-6.025281593056576,TCRgd+,TIGIT
CD4+ Th1,CCR10,CD4+ Th1,-0.13873675542796723,-0.21769147222222224,-2.2613231348312794,0.03711831481735084,0.437420917465071,-5.3855374050432845,CD4+ Th1,CCR10
CD4+ CM,CD28,CD4+ CM,-0.21493067455512763,1.3472233333333334,-2.2446001058520215,0.038370255917988684,0.437420917465071,-5.639020646665189,CD4+ CM,CD28
TCRgd+,CD39,TCRgd+,-0.10229633530676127,0.09107329444444444,-2.218804619874588,0.040378211807642034,0.4454628528455992,-6.408311795504061,TCRgd+,CD39
CD4+ TE,TNFa,CD4+ TE,-0.07211708044583337,0.20858447222222223,-2.188477335419042,0.042862815439629436,0.4580963400110396,-6.645275689608722,CD4+ TE,TNFa
