cluster_id,marker_id,ID,logFC,AveExpr,t,p_val,p_adj,B,celltype,marker
CD8+ EM,CD52,CD8+ EM,2.1617430234937975,2.7839027777777776,3.4687312279453746,0.0027404090725900447,0.8330843580673736,-1.9528308153387024,CD8+ EM,CD52
CD4+ EM,CD52,CD4+ EM,2.584377048996911,3.0429235294117647,3.0047006901139515,0.007974222383007355,0.9340252298878517,-2.5877859278378383,CD4+ EM,CD52
CD8+ TE,CD52,CD8+ TE,2.483982292487779,2.875340555555556,2.916175351105488,0.009217354242314327,0.9340252298878517,-3.5389181146306607,CD8+ TE,CD52
CD4+ CM,CD45RA,CD4+ CM,-0.06933526636947986,-0.13532280714285716,-0.13881310441796169,0.8915747748870133,0.9994372479471529,-4.608109090687055,CD4+ CM,CD45RA
CD4+ EM,CD45RA,CD4+ EM,-0.1618780265321957,-0.09493741176470588,-0.5212047450307162,0.6089473704077366,0.9994372479471529,-5.172208340711169,CD4+ EM,CD45RA
CD4+ TE,CD45RA,CD4+ TE,0.2904046883631537,1.6617295625,0.046414744968524706,0.9635540662024547,0.9994372479471529,-4.630187787885099,CD4+ TE,CD45RA
CD8+ EM,CD45RA,CD8+ EM,-0.006873231425477636,-0.07619941388888889,-0.02896391774388824,0.977212083353913,0.9994372479471529,-5.254854593385923,CD8+ EM,CD45RA
CD8+ TE,CD45RA,CD8+ TE,0.08767960885275673,1.7015997222222223,0.02156234473367241,0.9830342965459373,0.9994372479471529,-4.852530732481126,CD8+ TE,CD45RA
CD4+ Th1,CD45RA,CD4+ Th1,-0.3310593043769655,-0.1719901923076923,-0.433872627738781,0.671494167005745,0.9994372479471529,-4.608913168609693,CD4+ Th1,CD45RA
CD4+ TFH,CD45RA,CD4+ TFH,-0.12623916118102738,-0.1568984090909091,-0.15365544495875216,0.8806639749419101,0.9994372479471529,-4.599151192918554,CD4+ TFH,CD45RA
