cluster_id,marker_id,ID,logFC,AveExpr,t,p_val,p_adj,B,celltype,marker
CD4+ CM,CD45RA,CD4+ CM,0.11610607355629882,0.020401610714285714,0.4696646153777331,0.6458259672572095,0.9997552398709111,-4.619266812359722,CD4+ CM,CD45RA
CD4+ EM,CD45RA,CD4+ EM,-0.03397204004385147,-0.024794899999999998,-0.29950416397001683,0.7681862035412327,0.9997552398709111,-5.594254385081274,CD4+ EM,CD45RA
CD4+ TE,CD45RA,CD4+ TE,0.8872701589285711,1.8242035625,0.3081520792823506,0.7619420395812005,0.9997552398709111,-4.6683688242674215,CD4+ TE,CD45RA
CD8+ EM,CD45RA,CD8+ EM,0.040438252109872085,-0.03406031222222222,0.24156516843016132,0.8118475673015532,0.9997552398709111,-5.585327046392675,CD8+ EM,CD45RA
CD8+ TE,CD45RA,CD8+ TE,0.2706869891438486,1.6911344444444445,0.07855484772143137,0.9382533819267644,0.9997552398709111,-5.075091121994494,CD8+ TE,CD45RA
CD4+ Th1,CD45RA,CD4+ Th1,0.06081732229867233,0.03551545769230769,0.29471160780862593,0.7728676855750568,0.9997552398709111,-4.631597323359592,CD4+ Th1,CD45RA
CD4+ TFH,CD45RA,CD4+ TFH,-0.017835615281501436,-0.02336672727272727,-0.06011273612656446,0.9531440455433066,0.9997552398709111,-4.604963256649077,CD4+ TFH,CD45RA
TCRgd+,CD45RA,TCRgd+,-0.1786609331752763,0.5713645555555555,-1.183043721401345,0.25218219394082914,0.9997552398709111,-4.617520200503611,TCRgd+,CD45RA
CD4+ CM,CD62L,CD4+ CM,-0.1422547487179483,-0.34306585714285714,-0.2689586772976,0.7918844481950325,0.9997552398709111,-4.623972843571242,CD4+ CM,CD62L
CD4+ EM,CD62L,CD4+ EM,-0.2511767445566937,-0.281071,-1.148561989224803,0.266641405687783,0.9997552398709111,-5.049802083935696,CD4+ EM,CD62L
CD4+ TE,CD62L,CD4+ TE,-0.2186150991071433,0.060915937499999996,-0.2194356779931376,0.8290855701132386,0.9997552398709111,-4.6720457352730715,CD4+ TE,CD62L
CD8+ EM,CD62L,CD8+ EM,-0.05056929162717131,-0.24205802777777777,-0.2989330991099716,0.7684148643920253,0.9997552398709111,-5.571168867510762,CD8+ EM,CD62L
CD8+ TE,CD62L,CD8+ TE,-0.19777757139261026,-0.21154877777777778,-0.8600063246582246,0.40109503091666,0.9997552398709111,-4.842277423591176,CD8+ TE,CD62L
CD4+ Th1,CD62L,CD4+ Th1,-0.27465253512937304,-0.3240173076923077,-0.9194737570449356,0.3745936830846942,0.9997552398709111,-4.602191084550149,CD4+ Th1,CD62L
CD4+ TFH,CD62L,CD4+ TFH,-0.588622406166219,-0.3391781818181818,-1.0094787507565657,0.3344344218028188,0.9997552398709111,-4.595038019255317,CD4+ TFH,CD62L
TCRgd+,CD62L,TCRgd+,0.004341520170399681,-0.11284378055555555,0.03835843411956962,0.9698241248523238,0.9997552398709111,-5.014953434326865,TCRgd+,CD62L
CD4+ CM,CD16,CD4+ CM,-0.03501855117056859,-0.18270868571428572,-0.16392485346708527,0.8721332540167306,0.9997552398709111,-4.625435524907552,CD4+ CM,CD16
CD4+ EM,CD16,CD4+ EM,-0.06120651873790671,-0.12053452941176471,-0.635036397218707,0.5338592036878882,0.9997552398709111,-5.451293749110801,CD4+ EM,CD16
CD4+ TE,CD16,CD4+ TE,-0.06572773115646245,-0.073171309375,-0.24702587451071314,0.808029811787223,0.9997552398709111,-4.671032748586203,CD4+ TE,CD16
CD8+ EM,CD16,CD8+ EM,-0.0040350958529975925,-0.08340410555555555,-0.04864294124528564,0.9617395132495008,0.9997552398709111,-5.610961240950907,CD8+ EM,CD16
