cluster_id,marker_id,ID,logFC,AveExpr,t,p_val,p_adj,B,celltype,marker
CD4+ CM,CD52,CD4+ CM,-1.2051692534716298,3.866088888888889,-9.731766728900716,2.2686458962743934e-8,4.527065237627279e-6,9.529663379719082,CD4+ CM,CD52
CD4+ TFH,CD52,CD4+ TFH,-1.306554353369311,3.8431777777777776,-9.629007373287772,2.647406571711859e-8,4.527065237627279e-6,9.419846886504562,CD4+ TFH,CD52
CD4+ Naive,CD52,CD4+ Naive,-0.966080921906287,3.5621666666666667,-5.963203200856901,1.5314963474417252e-5,0.0017459058360835668,3.1405865278865264,CD4+ Naive,CD52
CD8+ TE,CD52,CD8+ TE,-1.0107850269741983,3.6365166666666666,-5.532963854647461,3.629396975259964e-5,0.0031031344138472694,0.9305830364113152,CD8+ TE,CD52
CD4+ TE,CD52,CD4+ TE,-1.1573982213383787,3.486372222222222,-5.279939960834674,6.093947336607965e-5,0.004168259978239848,0.6742243320832859,CD4+ TE,CD52
CD4+ Th1,CD52,CD4+ Th1,-1.4435046304956372,4.162086111111111,-5.185220405116683,7.413041149246594e-5,0.004225433455070558,1.5760611339983805,CD4+ Th1,CD52
CD4+ EM,TCRab,CD4+ EM,0.33986499136916465,1.7265,5.086128420349838,9.109485635611987e-5,0.004450634410541856,-0.4206539534131988,CD4+ EM,TCRab
CD8+ EM,CD52,CD8+ EM,-0.9211214662016967,3.3851416666666667,-4.506762027755408,3.1004612110534225e-4,0.01325447167725338,-1.5014879398262968,CD8+ EM,CD52
CD4+ CM,CCR10,CD4+ CM,-0.29020965466708176,-0.07070685555555556,-4.450560512475212,3.497111660430181e-4,0.013289024309634688,-0.2133687409313758,CD4+ CM,CCR10
CD4+ EM,CD52,CD4+ EM,-1.0368856580553034,3.7217416666666665,-4.323962578609552,4.590274961143563e-4,0.015698740367110987,-2.0688452303038547,CD4+ EM,CD52
