"sample","cell_type","marker","p_value","control_mean","KO_mean","p_adj"
"CD52KO_BC0610","CD8 T","CD52",7.46784356887072e-06,5.26826683994401,1.59250497576393,0.00170266833370252
"CD52KO_BC9507","CD8 T","CD52",3.89713887111116e-05,5.65774880125289,1.42647973824213,0.00444273831306672
"CD52KO_BC0610","CD4 T","CD52",8.73392658835784e-05,5.52590999819381,1.48292345862551,0.00497833815536397
"CD52KO_BC8599","CD4 T","CD52",8.73392658835784e-05,5.79504669173569,1.50583089981096,0.00497833815536397
"CD52KO_BC9507","CD4 T","CD52",0.000124154460601634,5.82023216920951,1.54088938823565,0.0056614434034345
"CD52KO_BC8599","CD8 T","CD52",0.000247624257527797,5.51864708179602,1.70033809500092,0.00940972178605629
"CD52KO_BC8599","CD4 T","CD107a",0.000419209861319227,-0.123104058614842,1.55682433452055,0.0136542640543977
"CD52KO_BC9507","CD4 T","CXCR2",0.000490878644840285,-1.45161503485585,-0.206053930402797,0.0139900413779481
"CD52KO_BC9507","CD8 T","CXCR2",0.000778523368667181,-1.1866499808707,0.106947450504687,0.0197225920062353
"CD52KO_BC9507","CD8 T","TIM3",0.000958670317541041,-0.404500180061037,0.29452227693975,0.0218576832399357
"CD52KO_BC0610","CD8 T","CCR6",0.00192563421038939,0.116907462211248,0.226566506572278,0.0353166856823045
"CD52KO_BC0610","CD8 T","TIM3",0.00192287522251562,-0.123588008947944,0.160530284419475,0.0353166856823045
"CD52KO_BC8599","CD4 T","CD14",0.00216856841908887,0.161450209601644,0.634066305035319,0.0353166856823045
"CD52KO_BC9507","CD8 T","CD62L",0.00213602713203374,-2.01631872372669,-1.11727283923874,0.0353166856823045
"CD52KO_BC0610","CD8 T","CD16",0.00352648665061584,-0.736427989797718,-0.445063928671355,0.0536025970893608
"CD52KO_BC9507","CD8 T","CCR4",0.00376957206341766,-0.429529439324933,-0.165426564442046,0.0537164019037016
"CD52KO_BC0610","CD4 T","CXCR2",0.00412677420538581,-0.708375903579123,0.116340203751932,0.0553473246369391
"CD52KO_BC8599","CD8 T","CD28",0.00486201975089334,2.71881620740913,2.1319297854339,0.0615855835113156
"CD52KO_BC0610","CD4 T","TIM3",0.00757404206678456,-0.441474050603464,0.0751159299650475,0.0908885048014147
"CD52KO_BC9507","CD4 T","KLRG1",0.00827421565071521,1.29788110308313,1.64532719898556,0.0943260584181534
"CD52KO_BC9507","CD4 T","TNFa",0.0101624389136377,1.17059212385712,1.69681742675352,0.110335051062352
"CD52KO_BC0610","CD8 T","CTLA.4",0.0122746481096612,0.959566516981504,0.738120777977732,0.120922479802939
"CD52KO_BC9507","CD8 T","41BB",0.0127286820845199,0.493776802976495,0.843496727858632,0.120922479802939
"CD52KO_BC9507","CD8 T","CD45RA",0.0127286820845199,-0.434908663049757,0.343642318320964,0.120922479802939
"CD52KO_BC9507","CD8 T","CD107a",0.0149604551462987,-2.25158122891388,-1.05906683094674,0.136439350934244
"CD52KO_BC9507","CD8 T","CD39",0.017530018461675,0.196242884538459,0.597276277884358,0.153724777279304
"CD52KO_BC9507","CD8 T","CD16",0.0189282837383667,-1.10731628691895,-0.577045245939663,0.159838840457318
"CD52KO_BC0610","CD8 T","TCRgd",0.0203215274110574,0.867496260906647,0.716527440587934,0.16100406459089
